2503
205             60           1160     1.8800e-06     3.6400e-02     9.1700e-05
206             60            325     1.9100e-06     3.7400e-02     1.5300e-04
207             60           1327     1.7600e-06     3.9200e-02     1.3100e-04
208             61            855     1.5800e-06     7.9500e-02     1.3300e-04
209             61            315     1.1400e-06     6.2500e-02     1.2000e-04
210             62           1319     1.8000e-06     3.1300e-02     1.3900e-04
211             62           1260     2.0000e-06     3.5400e-02     1.6100e-04
212             63            521     1.4300e-06     6.2500e-02     1.1400e-04
213             63            125     1.7500e-06     3.1300e-02     6.4000e-05
214             63            590     1.7800e-06     4.5700e-02     1.0400e-04
215             63            735     1.7500e-06     4.0900e-02     1.1400e-04
216             63            865     1.8600e-06     6.2500e-02     8.6000e-05
217             64           1040     9.3600e-07     3.4800e-02     1.1700e-04
218             64            372     1.2100e-06     7.9500e-02     7.6200e-05
219             65            477     1.5300e-06     2.1500e-02     5.3900e-05
220             65            143     1.3200e-06     4.2100e-02     1.3000e-04
221             65           1003     1.8700e-06     3.3800e-02     1.5300e-04
222             66            386     1.8000e-06     2.1700e-02     5.7400e-05
223             66           1039     2.1500e-06     3.8200e-02     8.6000e-05
224             67            548     1.4200e-06     6.2500e-02     1.0400e-04
225             67            590     1.2800e-06     4.8100e-02     6.6300e-05
226             68            438     1.8000e-06     1.5200e-02     1.5800e-04
227             68            935     1.2700e-06     6.2500e-02     5.1000e-05
228             69            148     1.3000e-06     6.2500e-02     1.5000e-04
229             69            468     2.5400e-06     4.3300e-02     1.4600e-04
230             69            505     2.6700e-06     6.2500e-02     4.2400e-05
231             70            524     1.3200e-06     6.2500e-02     1.2700e-04
232             70            170     9.3300e-07     2.1100e-02     7.3500e-05
233             71           1156     9.6900e-07     6.2500e-02     2.1000e-04
234             71           1340     1.6700e-06     6.2500e-02     8.0000e-05
235             72            251     1.7400e-06     4.0100e-02     7.0700e-05
236             72            973     1.1400e-06     1.0000e-02     1.0200e-04
237             72            215     1.1100e-06     3.7700e-02     1.5400e-04
238             73            806     1.2900e-06     2.8000e-02     1.4600e-04
239             73           1147     1.3400e-06     2.5100e-02     8.3100e-05
240             74            954     1.6500e-06     7.9500e-02     9.0600e-05
241             75            132     1.9500e-06     4.0900e-02     1.0200e-04
242             75           1024     1.8200e-06     4.6400e-02     1.3700e-04
243             75           1151     1.9200e-06     3.1300e-02     1.1200e-04
244             75            957     1.7800e-06     2.9600e-02     1.0200e-04
245             76            804     1.7000e-06     4.4500e-02     7.4800e-05
246             77            793     2.5900e-06     6.2500e-02     1.6800e-04
247             77            154     2.4800e-06     3.8600e-02     1.0600e-04
248             77            962     2.4100e-06     3.1300e-02     1.5200e-04
249             77            142     1.8200e-06     3.1300e-02     5.1000e-05
250             77            790     1.9900e-06     3.9600e-02     5.7400e-05
251             78            421     1.8000e-06     4.8100e-02     1.6500e-04
252             79            471     9.7400e-07     6.2500e-02     8.6000e-05
253             80            221     1.0500e-06     3.1300e-02     1.4500e-04
254             80           1110     1.7400e-06     3.6600e-02     1.6700e-04
255             81           1282     2.4700e-06     3.0000e-02     1.2400e-04
256             81            383     2.7100e-06     3.3700e-02     1.3600e-04
257             81            434     2.6300e-06     4.8100e-02     1.1400e-04
258             81            881     2.6000e-06     6.2500e-02     6.7100e-05
259             81            646     2.8400e-06     4.8100e-02     7.8700e-05
260             81            282     2.7600e-06     3.2600e-02     6.4800e-05
261             82           1022     1.2600e-06     3.1300e-02     1.1900e-04
262             82            998     1.2900e-06     2.1500e-02     1.9100e-04
263             82             94     1.5300e-06     6.2500e-02     5.9200e-05
264             83            815     1.7300e-06     3.1300e-02     1.4300e-04
265             84            432     2.4900e-06     3.5600e-02     1.1000e-04
266             85            368     2.6300e-06     3.1300e-02     1.1900e-04
267             86            603     1.7800e-06     4.8100e-02     7.2800e-05
268             86            731     1.7500e-06     2.9400e-02     1.4600e-04
269             86            964     1.6200e-06     6.2500e-02     1.6000e-04
270             87           1326     1.9900e-06     4.8100e-02     9.7000e-05
271             89            633     2.8000e-06     2.5000e-02     8.8300e-05
272             90            973     9.4100e-07     7.9500e-02     9.0600e-05
273             91            847     1.4100e-06     6.2500e-02     1.7500e-04
274             92            243     1.5300e-06     3.1000e-02     1.5300e-04
275             92            237     1.6600e-06     3.8800e-02     7.8700e-05
276             92           1130     1.2000e-06     6.2500e-02     1.4300e-04
277             93            587     9.3800e-07     4.0300e-02     7.6800e-05
278             93            686     1.2400e-06     3.6400e-02     1.2900e-04
279             93            539     9.3500e-07     3.0000e-02     5.4800e-05
280             94            570     1.4500e-06     7.9500e-02     7.2800e-05
281             95           1065     1.1500e-06     3.3900e-02     1.5400e-04
282             95            170     9.2400e-07     4.8100e-02     1.4600e-04
283             95            939     1.4400e-06     1.4300e-02     9.4300e-05
